"ViolationID";"DeviceID";"CaptureTime";"CaptureLocation"
1;"027";"2025-01-09 17:03:35";"台北市北投區中央南路三段30號"
2;"295";"2025-01-09 17:03:52";"台北市士林區天母東路5號"
3;"053";"2025-01-09 17:04:06";"台北市大安區辛亥路二段270號"
4;"099";"2025-01-09 17:04:15";"台北市大安區新生南路三段105號"
5;"129";"2025-01-09 17:04:34";"台北市內湖區湖光路8號"
6;"003";"2025-01-09 17:04:49";"台北市士林區天母東路5號"
7;"152";"2025-01-09 17:07:32";"台北市信義區和平東路二段90號"
8;"058";"2025-01-09 17:07:45";"台北市大安區辛亥路二段270號"
9;"074";"2025-01-09 17:12:36";"台北市內湖區陽光街78號"
10;"219";"2025-01-09 17:35:48";"台北市松山區健康路5號"
11;"060";"2025-01-09 17:51:05";"台北市北投區中央北路二段50號"
12;"242";"2025-01-09 18:06:01";"台北市中山區民權東路二段100號"
13;"004";"2025-01-09 18:17:49";"台北市文山區福興路18號"
14;"188";"2025-01-09 21:11:23";"台北市信義區忠孝東路五段510號"
15;"233";"2025-01-09 21:33:28";"台北市大安區和平東路三段56號"
16;"057";"2025-01-09 21:59:20";"台北市大安區和平東路四段15號"
17;"288";"2025-01-09 22:37:42";"台北市中正區羅斯福路三段100號"
18;"109";"2025-01-09 22:43:59";"台北市萬華區西園路二段10號"
19;"088";"2025-01-10 09:27:32";"台北市萬華區成都路60號"
20;"130";"2025-01-10 09:39:54";"台北市北投區大業路60號"
21;"017";"2025-01-10 09:53:25";"台北市士林區福德路100號"
22;"101";"2025-01-10 10:18:25";"台北市大安區辛亥路二段270號"
23;"024";"2025-01-10 10:27:25";"台北市文山區保儀路90號"
24;"286";"2025-01-10 10:44:27";"台北市中正區仁愛路一段89號"
25;"281";"2025-01-10 11:18:33";"台北市中山區建國北路18號"
